transaction_id,user_id,amount,transaction_hour,merchant_category,device_type,location,is_new_device,failed_attempts,transactions_last_hour,account_age_days,is_fraud,is_night,amount_log,high_velocity,high_failed_attempts,new_device_high_amount,amount_vs_account_age,risk_factor_count
TXN00043824,481,406.6,12,healthcare,web,Bhaktapur,0,0,2,1255,0,0,6.01028630134857,0,0,0,0.32372611464968154,0
TXN00017240,1940,3273.95,17,ecommerce,ios,Lalitpur,0,2,4,19,0,0,8.094057880777235,0,0,0,163.6975,1
TXN00004892,1903,111.53,5,travel,web,Lalitpur,0,1,3,807,0,0,4.723219852761906,0,0,0,0.1380321782178218,0
TXN00000725,3123,357.33,1,restaurant,android,Nepalgunj,0,0,1,369,0,1,5.881454349524805,0,0,0,0.9657567567567568,1
TXN00022949,3982,100.26,7,ecommerce,web,Butwal,0,3,2,766,0,0,4.617691466541763,0,0,0,0.13071707953063885,0
TXN00034657,1810,3644.15,2,mobile_topup,web,Biratnagar,0,0,3,1008,0,1,8.201152795859402,0,0,0,3.6116451932606544,1
TXN00037213,1795,626.69,1,education,web,Dharan,0,0,1,1267,0,1,6.44204641401927,0,0,0,0.4942350157728707,1
TXN00020304,4368,654.33,4,fuel,ios,Bhaktapur,1,0,1,465,0,1,6.485138925556076,0,0,0,1.4041416309012877,1
TXN00015269,724,213.77,4,travel,android,Butwal,0,1,4,786,0,1,5.369567688076203,0,0,0,0.2716264294790343,1
TXN00022367,1318,590.68,14,travel,ios,Dharan,0,0,1,819,0,0,6.38296594819876,0,0,0,0.7203414634146341,0
TXN00042684,3218,398.99,16,utility_bill,android,Hetauda,0,0,3,245,0,0,5.991439546795477,0,0,0,1.6219105691056912,0
TXN00046734,2664,723.27,6,electronics,android,Birgunj,0,0,3,611,0,0,6.585164251042083,0,0,0,1.1818137254901961,0
TXN00011732,3690,9211.96,14,education,android,Nepalgunj,0,4,1,933,0,0,9.128366467408418,0,1,0,9.86291220556745,1
TXN00018619,3191,820.2,4,utility_bill,web,Kathmandu,0,0,6,102,0,1,6.710766685144779,0,0,0,7.963106796116505,1
TXN00048492,4118,377.54,6,ecommerce,ios,Birgunj,0,0,1,759,0,0,5.936321747610773,0,0,0,0.49676315789473685,0
TXN00026803,1067,1860.78,2,travel,ios,Hetauda,0,2,2,413,0,1,7.529288298332285,0,0,0,4.49463768115942,1
TXN00044305,390,4917.83,22,travel,android,Nepalgunj,0,2,1,669,0,0,8.500825976328242,0,0,0,7.340044776119403,0
TXN00047522,3324,478.55,17,travel,web,Kathmandu,0,0,2,97,0,0,6.17284816417396,0,0,0,4.8831632653061225,0
TXN00032207,2726,426.98,10,restaurant,web,Pokhara,0,0,1,425,0,0,6.059076465518002,0,0,0,1.0023004694835682,0
TXN00002530,4628,2592.69,22,mobile_topup,ios,Nepalgunj,0,0,1,510,0,0,7.860836851181327,0,0,0,5.073757338551859,0
TXN00017746,1817,1608.23,10,electronics,android,Dharan,0,0,2,1090,0,0,7.383511082705736,0,0,0,1.4740879926672776,0
TXN00008270,56,2006.78,14,healthcare,android,Nepalgunj,0,0,2,598,0,0,7.604784913056305,0,0,0,3.3502170283806345,0
TXN00015079,2681,331.44,3,utility_bill,web,Birgunj,0,0,1,188,0,1,5.806459392684825,0,0,0,1.7536507936507937,1
TXN00013624,2939,948.53,12,mobile_topup,web,Hetauda,1,0,5,1193,0,0,6.85596712532983,0,0,0,0.7944137353433836,0
TXN00030638,623,980.82,17,grocery,android,Hetauda,1,0,2,1221,0,0,6.889407992164077,0,0,0,0.8026350245499182,0
TXN00030440,4952,153.52,4,travel,android,Kathmandu,0,0,3,354,0,1,5.040323537798081,0,0,0,0.43245070422535214,1
TXN00036056,3045,94.51,14,fuel,android,Hetauda,0,1,1,667,0,0,4.5592309540466465,0,0,0,0.1414820359281437,0
TXN00042651,3496,2124.9,19,ecommerce,android,Nepalgunj,1,1,1,369,0,0,7.661950521107016,0,0,0,5.742972972972973,0
TXN00036803,3828,878.41,1,fuel,ios,Butwal,1,0,2,1196,0,1,6.77925122807164,0,0,0,0.733842940685046,1
TXN00048224,3397,291.17,12,healthcare,ios,Bhaktapur,0,0,6,216,0,0,5.677335824641218,0,0,0,1.3417972350230416,0
TXN00029226,4593,227.47,23,travel,android,Nepalgunj,0,0,2,236,0,0,5.431404910686392,0,0,0,0.959789029535865,0
TXN00005633,1782,547.13,7,electronics,web,Kathmandu,0,0,1,1175,0,0,6.306512485091684,0,0,0,0.4652465986394558,0
TXN00005987,670,738.35,13,grocery,ios,Hetauda,0,0,2,892,0,0,6.6057714218194965,0,0,0,0.8268197088465846,0
TXN00048063,3419,200.94,0,healthcare,web,Nepalgunj,0,0,3,764,0,1,5.307970623576175,0,0,0,0.26266666666666666,1
TXN00001812,3231,303.88,11,mobile_topup,android,Butwal,0,0,6,147,0,0,5.719918256565605,0,0,0,2.053243243243243,0
TXN00027578,1368,2993.41,11,utility_bill,ios,Birgunj,0,4,2,494,1,0,8.004502496151835,0,1,0,6.047292929292929,1
TXN00016823,1726,710.64,1,mobile_topup,android,Bhaktapur,0,1,3,522,0,1,6.567572165566575,0,0,0,1.358776290630975,1
TXN00003928,1030,638.09,15,utility_bill,android,Nepalgunj,0,0,1,113,0,0,6.460045289530222,0,0,0,5.597280701754387,0
TXN00037286,3284,484.52,11,restaurant,android,Hetauda,0,0,2,824,0,0,6.185220481527599,0,0,0,0.5872969696969697,0
TXN00025045,1544,207.43,6,electronics,web,Biratnagar,0,1,1,990,0,0,5.339603253453579,0,0,0,0.209313824419778,0
TXN00015727,859,7777.25,16,grocery,ios,Bhaktapur,1,1,1,1461,0,0,8.959086656137954,0,0,0,5.319596443228455,0
TXN00029600,3360,1407.68,13,healthcare,web,Birgunj,1,0,2,583,0,0,7.250408374678432,0,0,0,2.4104109589041096,0
TXN00010430,4407,633.36,9,education,web,Butwal,0,0,2,174,0,0,6.4526166166304,0,0,0,3.6192,0
TXN00025768,2028,343.57,0,mobile_topup,web,Birgunj,0,0,2,853,0,1,5.842297262846187,0,0,0,0.40230679156908666,1
TXN00029103,2735,1957.0,8,fuel,web,Lalitpur,0,0,1,1415,0,0,7.579678823090456,0,0,0,1.3820621468926553,0
TXN00036537,65,2316.6,23,ecommerce,ios,Hetauda,0,0,3,309,0,0,7.748287446455141,0,0,0,7.472903225806451,0
TXN00039328,3874,125.26,9,fuel,ios,Pokhara,0,0,3,1194,0,0,4.83834327293948,0,0,0,0.10482008368200837,0
TXN00035539,2540,623.19,18,grocery,android,Butwal,1,0,3,1088,0,0,6.436454809202101,0,0,0,0.5722589531680441,0
TXN00028075,1513,433.57,10,electronics,android,Nepalgunj,0,0,1,702,0,0,6.074357036447542,0,0,0,0.6167425320056898,0
TXN00017840,1885,360.69,7,ecommerce,web,Lalitpur,0,3,1,1001,0,0,5.8907874913544065,0,0,0,0.3599700598802395,0
TXN00027802,3840,116.26,9,restaurant,web,Butwal,0,0,4,58,0,0,4.764393691536069,0,0,0,1.9705084745762713,0
TXN00007682,919,1203.09,15,electronics,android,Butwal,0,1,8,677,0,0,7.093479373905627,1,0,0,1.7744690265486724,1
TXN00024279,1956,1157.55,8,fuel,android,Hetauda,0,1,3,874,0,0,7.054924502198758,0,0,0,1.3229142857142857,0
TXN00033070,1336,284.7,18,electronics,android,Biratnagar,0,0,1,750,0,0,5.654942309236727,0,0,0,0.37909454061251663,0
TXN00035557,1565,2708.96,23,mobile_topup,ios,Dharan,0,1,2,1164,0,0,7.9046891536172135,0,0,0,2.3252875536480686,0
TXN00037189,1097,350.26,6,travel,ios,Kathmandu,0,0,2,527,0,0,5.86152668999359,0,0,0,0.6633712121212121,0
TXN00047149,1671,351.8,22,utility_bill,android,Nepalgunj,0,0,2,961,0,0,5.865901324132636,0,0,0,0.3656964656964657,0
TXN00046915,2348,1862.49,21,grocery,ios,Lalitpur,0,0,1,481,0,0,7.530206352658604,0,0,0,3.8640871369294607,0
TXN00009801,1427,391.15,20,electronics,android,Dharan,0,0,2,1119,0,0,5.971644419658675,0,0,0,0.3492410714285714,0
TXN00038800,3590,557.66,5,fuel,web,Biratnagar,0,0,4,520,0,0,6.3255410591284935,0,0,0,1.0703646833013436,0
TXN00024669,1784,1182.11,2,utility_bill,web,Dharan,0,2,2,138,0,1,7.075901843594786,0,0,0,8.504388489208633,1
TXN00044233,4045,865.6,18,ecommerce,ios,Hetauda,0,0,1,1301,0,0,6.764577509305809,0,0,0,0.6648233486943165,0
TXN00031919,3141,705.38,23,restaurant,web,Lalitpur,0,0,1,1317,0,0,6.5601533363181606,0,0,0,0.5351896813353566,0
TXN00007134,471,2624.32,18,utility_bill,web,Kathmandu,0,0,3,1389,0,0,7.872958072357847,0,0,0,1.8880000000000001,0
TXN00033704,3450,1419.88,8,grocery,ios,Bhaktapur,1,0,2,916,0,0,7.259031676959071,0,0,0,1.5483969465648857,0
TXN00029660,4269,2026.84,5,electronics,android,Pokhara,0,0,2,903,0,0,7.614726466135152,0,0,0,2.242079646017699,0
TXN00017893,1743,1117.35,11,ecommerce,android,Kathmandu,0,0,3,1126,0,0,7.019609663756279,0,0,0,0.9914374445430345,0
TXN00022018,3642,3409.63,20,healthcare,web,Hetauda,0,0,6,960,0,0,8.134652303946385,0,0,0,3.548002081165453,0
TXN00013538,4201,79.27,12,travel,android,Bhaktapur,0,0,3,828,0,0,4.385395952143486,0,0,0,0.09562123039806995,0
TXN00043118,2128,4620.19,22,travel,web,Lalitpur,0,0,1,1462,0,0,8.43840752666642,0,0,0,3.158024606971975,0
TXN00036420,492,5450.8,5,electronics,android,Birgunj,0,1,2,1485,0,0,8.60370110835779,0,0,0,3.6681022880215344,0
TXN00009405,1797,1082.0,9,mobile_topup,ios,Lalitpur,0,0,2,201,0,0,6.9874902470009905,0,0,0,5.356435643564357,0
TXN00013413,2103,484.6,14,education,android,Birgunj,0,0,3,135,0,0,6.185385239745289,0,0,0,3.5632352941176473,0
TXN00006720,2582,2363.08,18,ecommerce,ios,Bhaktapur,0,0,2,43,0,0,7.768144218900943,0,0,0,53.70636363636363,0
TXN00015601,4893,2359.69,12,restaurant,android,Hetauda,0,0,1,746,0,0,7.76670922816839,0,0,0,3.158888888888889,0
TXN00044743,1489,272.15,11,utility_bill,ios,Nepalgunj,0,2,3,365,0,0,5.610021094841726,0,0,0,0.7435792349726775,0
TXN00031138,523,1819.54,23,utility_bill,android,Dharan,0,1,3,559,0,0,7.506888439359826,0,0,0,3.2491785714285712,0
TXN00002729,779,137.33,17,grocery,ios,Birgunj,0,0,4,1135,0,0,4.929642134886724,0,0,0,0.12088908450704226,0
TXN00038242,4357,219.61,16,grocery,ios,Pokhara,0,0,1,448,0,0,5.396396436707672,0,0,0,0.48910913140311807,0
TXN00029625,1150,310.91,3,restaurant,android,Biratnagar,0,0,1,62,0,1,5.742714684657988,0,0,0,4.935079365079366,1
TXN00047894,2355,144.4,21,travel,web,Nepalgunj,0,0,3,893,0,0,4.979488565099419,0,0,0,0.1615212527964206,0
TXN00042090,4114,130.43,4,mobile_topup,android,Lalitpur,0,2,2,1348,0,1,4.878474390493917,0,0,0,0.09668643439584879,1
TXN00036399,3166,431.14,23,utility_bill,ios,Hetauda,0,0,1,1471,0,0,6.068749609817524,0,0,0,0.29289402173913043,0
TXN00006244,4921,1989.67,6,education,web,Butwal,0,2,1,1190,0,0,7.59622654447048,0,0,0,1.6705877413937869,0
TXN00005545,28,2571.71,6,ecommerce,android,Nepalgunj,0,3,1,677,0,0,7.8527150970295025,0,0,0,3.7930825958702066,0
TXN00004064,3,332.6,1,fuel,ios,Biratnagar,1,0,2,971,0,1,5.809942670484592,0,0,0,0.3421810699588478,1
TXN00012851,3768,2148.49,9,travel,ios,Biratnagar,0,0,3,712,0,0,7.6729858836808065,0,0,0,3.0133099579242635,0
TXN00021802,1040,236.53,6,education,android,Bhaktapur,0,3,2,83,0,0,5.470293931287002,0,0,0,2.8158333333333334,0
TXN00041163,3626,2707.03,0,healthcare,android,Kathmandu,0,0,3,1033,0,1,7.90397671225736,0,0,0,2.6180174081237912,1
TXN00006232,2604,115.49,0,restaurant,android,Kathmandu,0,2,2,594,0,1,4.757805432411685,0,0,0,0.19410084033613445,1
TXN00003862,4028,392.58,5,fuel,ios,Pokhara,0,1,3,40,0,0,5.975284350878944,0,0,0,9.575121951219511,0
TXN00035094,1205,1447.63,16,mobile_topup,android,Birgunj,0,4,1,564,1,0,7.278373561197481,0,1,0,2.5621769911504426,1
TXN00040195,4337,3853.2,14,education,ios,Nepalgunj,0,0,1,626,0,0,8.25691874176382,0,0,0,6.1454545454545455,0
TXN00039250,3465,799.18,10,mobile_topup,ios,Biratnagar,0,0,1,374,0,0,6.684836702359224,0,0,0,2.1311466666666665,0
TXN00006217,874,210.13,6,electronics,web,Bhaktapur,0,1,1,1464,0,0,5.352474057499991,0,0,0,0.1434334470989761,0
TXN00036775,4015,483.14,12,utility_bill,web,Birgunj,0,0,1,346,0,0,6.18237412108847,0,0,0,1.3923342939481267,0
TXN00042976,1062,1038.39,16,healthcare,android,Pokhara,0,0,1,251,0,0,6.946389281592905,0,0,0,4.120595238095238,0
TXN00048467,3689,2037.4,1,education,android,Lalitpur,0,0,7,122,0,1,7.619920465377844,0,0,0,16.564227642276425,1
TXN00014831,1608,377.94,1,education,ios,Bhaktapur,0,0,1,1148,0,1,5.937377881204216,0,0,0,0.3289295039164491,1
TXN00030092,3026,1094.39,13,education,web,Lalitpur,0,0,1,1187,0,0,6.998865743222685,0,0,0,0.9212037037037037,0
TXN00008893,1363,80.27,18,utility_bill,web,Butwal,0,0,1,54,0,0,4.397776944765114,0,0,0,1.4594545454545453,0
TXN00006020,4705,425.19,19,healthcare,web,Biratnagar,1,0,2,143,0,0,6.054885256226418,0,0,0,2.9527083333333333,0
TXN00046088,2767,1283.93,9,healthcare,web,Birgunj,0,0,5,348,0,0,7.158459521137348,0,0,0,3.6788825214899714,0
TXN00015242,786,1679.65,17,education,ios,Dharan,0,0,1,1430,0,0,7.426935902330863,0,0,0,1.173759608665269,0
TXN00045307,42,2787.35,6,restaurant,web,Biratnagar,0,0,4,743,0,0,7.933205302021263,0,0,0,3.7464381720430104,0
TXN00026550,1725,142.46,13,grocery,android,Butwal,0,0,3,884,0,0,4.966056250698289,0,0,0,0.1609717514124294,0
TXN00006034,3002,979.93,2,fuel,web,Nepalgunj,0,0,2,985,0,1,6.88850110125999,0,0,0,0.9938438133874239,1
TXN00007905,3175,1719.31,15,travel,ios,Kathmandu,0,0,5,602,0,0,7.450259786125702,0,0,0,2.8512603648424544,0
TXN00032225,3310,1227.65,9,education,web,Dharan,0,0,1,1259,0,0,7.113671284629721,0,0,0,0.9743253968253969,0
TXN00006017,4525,3182.72,11,grocery,web,Butwal,0,0,2,591,0,0,8.065805603398859,0,0,0,5.376216216216216,0
TXN00021879,4427,7747.76,21,education,android,Bhaktapur,0,1,1,630,0,0,8.955288109546027,0,0,0,12.278541996830429,0
TXN00002791,1456,271.26,13,grocery,ios,Bhaktapur,0,4,4,1014,0,0,5.606757492084327,0,1,0,0.26725123152709357,1
TXN00042605,2830,10853.8,17,utility_bill,android,Nepalgunj,0,3,3,1088,0,0,9.292362657453571,0,0,0,9.96675849403122,0
TXN00005823,1568,1104.0,21,travel,ios,Biratnagar,0,2,3,1125,0,0,7.007600613951853,0,0,0,0.9804618117229129,0
TXN00015387,4728,401.78,4,fuel,android,Bhaktapur,0,0,1,684,0,1,5.998390507178715,0,0,0,0.5865401459854014,1
TXN00029561,357,4856.44,18,restaurant,ios,Hetauda,0,0,2,1233,0,0,8.48826682914237,0,0,0,3.9355267423014584,0
TXN00039475,3265,307.15,2,restaurant,web,Birgunj,0,0,4,1128,0,1,5.730586677408252,0,0,0,0.2720549158547387,1
TXN00000292,607,26.06,8,grocery,ios,Butwal,0,0,2,844,0,0,3.2980566227426418,0,0,0,0.03084023668639053,0
TXN00016957,4906,693.69,0,fuel,web,Lalitpur,0,2,2,203,0,1,6.543465702892481,0,0,0,3.4004411764705886,1
TXN00030860,4912,1069.62,2,education,web,Butwal,0,0,1,1159,0,1,6.975993198898185,0,0,0,0.9220862068965516,1
TXN00014073,1197,132.17,22,electronics,android,Pokhara,0,0,2,1107,0,0,4.8916265075140535,0,0,0,0.11928700361010829,0
TXN00021856,918,8274.72,20,healthcare,ios,Nepalgunj,0,0,1,1186,0,0,9.021081205523638,0,0,0,6.97112047177759,0
TXN00022079,4464,649.5,3,electronics,android,Butwal,0,2,4,1150,0,1,6.47774129795256,0,0,0,0.5642919200695048,1
TXN00017023,1136,3404.12,11,healthcare,web,Hetauda,0,0,1,725,0,0,8.133035460253367,0,0,0,4.688870523415978,0
TXN00008739,4832,576.03,18,restaurant,web,Birgunj,0,1,1,105,0,0,6.357894258224098,0,0,0,5.434245283018868,0
TXN00015825,3631,28298.3,16,fuel,web,Pokhara,0,1,7,325,0,0,10.250592348343082,0,0,0,86.80460122699387,0
TXN00002741,977,705.58,11,travel,android,Nepalgunj,0,0,10,59,0,0,6.56043642996743,1,0,0,11.759666666666668,1
TXN00018048,3665,3539.51,2,healthcare,android,Dharan,0,0,3,776,0,1,8.172026063547662,0,0,0,4.555353925353925,1
TXN00049936,116,1950.13,14,restaurant,ios,Pokhara,0,0,1,311,0,0,7.576163970899421,0,0,0,6.250416666666667,0
TXN00017372,3358,914.52,6,travel,ios,Bhaktapur,0,2,2,1159,0,0,6.819492209861745,0,0,0,0.7883793103448276,0
TXN00022021,4480,1176.37,18,ecommerce,ios,Nepalgunj,1,4,2,478,0,0,7.0710384163986415,0,1,0,2.4558872651356993,1
TXN00046364,1984,949.04,19,fuel,web,Dharan,0,0,2,520,0,0,6.8565040889713424,0,0,0,1.821573896353167,0
TXN00023537,3895,682.35,20,ecommerce,ios,Nepalgunj,0,1,3,1444,0,0,6.5270071734108095,0,0,0,0.47221453287197235,0
TXN00045499,1926,371.91,3,fuel,android,Lalitpur,1,0,2,91,0,1,5.921337103666186,0,0,0,4.0425,1
TXN00040185,3128,1253.7,18,ecommerce,ios,Butwal,0,0,2,754,0,0,7.1346517791656545,0,0,0,1.6605298013245033,0
TXN00009613,444,73.65,16,healthcare,web,Lalitpur,0,0,3,1155,0,0,4.312810523985199,0,0,0,0.06371107266435987,0
TXN00043281,4283,393.06,12,restaurant,web,Butwal,0,4,4,1298,1,0,5.976503181967821,0,1,0,0.3025866050808314,1
TXN00037891,4648,212.96,20,restaurant,web,Kathmandu,0,0,2,217,0,0,5.365789081663049,0,0,0,0.9768807339449541,0
TXN00026178,3413,1058.79,21,electronics,android,Hetauda,0,0,2,979,0,0,6.9658260542715515,0,0,0,1.0803979591836734,0
TXN00045892,1050,1370.51,18,mobile_topup,ios,Biratnagar,0,0,1,342,0,0,7.223667601637989,0,0,0,3.995655976676385,0
TXN00020933,312,758.31,4,mobile_topup,ios,Pokhara,0,0,1,1280,0,1,6.632410126157487,0,0,0,0.5919672131147541,1
TXN00040971,720,223.21,10,restaurant,web,Butwal,0,0,8,79,0,0,5.41258311267638,1,0,0,2.790125,1
TXN00022224,1251,466.19,23,ecommerce,web,Kathmandu,0,0,2,90,0,0,6.146736027175357,0,0,0,5.122967032967033,0
TXN00024381,269,1725.62,19,utility_bill,android,Lalitpur,0,0,2,120,0,0,7.453921019193155,0,0,0,14.261322314049586,0
TXN00034855,4985,734.79,22,mobile_topup,web,Lalitpur,0,1,2,246,0,0,6.6009447519286875,0,0,0,2.9748582995951414,0
TXN00048577,507,353.93,0,restaurant,ios,Butwal,0,0,1,1132,0,1,5.8719205869336815,0,0,0,0.31238305383936454,1
TXN00038536,4486,557.41,22,mobile_topup,web,Pokhara,0,3,8,1344,1,0,6.325093459597267,1,0,0,0.41443122676579924,1
TXN00031755,3533,11227.25,6,electronics,web,Bhaktapur,0,0,1,303,0,0,9.326188202998056,0,0,0,36.93174342105263,0
